order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_estimated_delivery_date,customer_state,total_price,total_frieght,item_count,target,is_late
2017-12-18 13:43:54,2017-12-18 15:51:31,2017-12-19 17:51:40,2018-01-16,MG,120.0,15.59,1,7,0
2018-08-25 00:09:40,2018-08-28 03:50:23,2018-08-29 13:24:00,2018-09-03,SP,492.75,21.62,1,1,0
2018-05-02 11:59:06,2018-05-02 12:14:52,2018-05-03 12:12:00,2018-05-22,PR,94.9,18.54,1,7,0
2018-02-18 18:46:28,2018-02-18 19:46:50,2018-02-19 20:35:16,2018-03-15,SC,88.34,21.11,1,20,0
2017-06-20 21:55:21,2017-06-20 22:10:14,2017-06-21 11:26:14,2017-07-12,MG,199.99,65.56,1,8,0
2018-03-11 10:24:44,2018-03-11 10:35:37,2018-03-12 19:47:30,2018-04-06,SP,99.9,19.67,1,7,0
2018-05-14 16:57:47,2018-05-15 17:37:51,2018-05-17 13:27:00,2018-05-25,SP,156.0,17.8,2,1,0
2017-11-19 19:16:07,2017-11-21 03:47:23,2017-11-21 23:21:31,2017-12-08,PR,155.0,14.84,1,5,0
2018-07-02 16:51:47,2018-07-02 17:11:12,2018-07-03 16:35:00,2018-07-25,SP,249.9,34.23,1,3,0
2017-08-04 09:19:10,2017-08-04 09:30:15,2017-08-04 18:09:47,2017-09-05,RS,53.89,39.730000000000004,2,3,0
2017-11-24 20:03:02,2017-11-24 23:13:38,2017-12-15 19:34:13,2017-12-15,RJ,60.6,17.67,1,21,1
2018-03-25 16:52:27,2018-03-25 17:10:21,2018-04-07 01:18:33,2018-04-20,MG,225.0,67.24,1,9,0
2018-04-10 01:14:18,2018-04-11 09:12:11,2018-04-16 19:30:42,2018-04-30,PR,76.0,34.07,1,17,1
2018-03-10 18:53:06,2018-03-10 19:48:19,2018-03-13 17:16:42,2018-04-17,RJ,159.0,27.19,1,47,1
2017-05-18 19:04:48,2017-05-18 19:22:34,2017-05-19 16:04:55,2017-06-07,MG,205.8,28.9,2,10,0
2017-07-17 21:25:23,2017-07-19 03:45:26,2017-07-19 17:07:11,2017-08-11,ES,63.9,16.89,1,55,1
2018-04-25 21:47:26,2018-04-25 22:10:29,2018-04-27 14:49:00,2018-05-28,RJ,168.8,8.21,1,6,0
2017-09-25 17:39:29,2017-09-25 17:50:16,2017-09-26 22:31:51,2017-10-10,SP,119.8,19.88,2,0,0
2018-07-08 11:28:17,2018-07-10 04:25:09,2018-07-13 15:00:00,2018-08-08,BA,232.75,28.58,1,11,0
2018-08-20 11:06:46,2018-08-20 15:12:10,2018-08-21 13:18:00,2018-09-11,SP,48.9,18.44,1,9,0
2017-08-17 00:57:23,2017-08-17 01:25:39,2017-08-22 15:33:53,2017-09-06,SP,87.0,12.11,1,6,0
2017-11-24 01:08:37,2017-11-24 01:29:45,2017-11-28 17:17:17,2018-01-03,SP,131.9,18.54,1,8,0
2018-02-21 02:46:23,2018-02-21 07:10:40,2018-02-22 00:51:33,2018-03-13,SP,19.9,14.1,1,4,0
2018-07-19 14:58:59,2018-07-19 15:10:11,2018-08-07 07:45:00,2018-08-20,SP,136.99,66.04,1,2,0
2017-10-13 00:04:49,2017-10-14 00:07:30,2017-10-17 12:56:45,2017-11-01,MG,399.99,23.64,1,6,0
2018-02-02 19:39:46,2018-02-02 19:50:27,2018-02-05 18:06:49,2018-02-26,SP,41.0,11.85,1,21,1
2018-06-13 14:10:54,2018-06-15 02:37:21,2018-06-15 14:48:00,2018-07-20,RJ,138.0,37.16,2,3,0
2018-07-06 10:37:32,2018-07-06 10:51:09,2018-07-07 09:15:00,2018-08-03,AL,169.9,33.33,1,13,0
2018-08-19 12:51:50,2018-08-20 11:49:46,2018-08-22 12:04:00,2018-08-29,DF,119.0,15.28,1,5,0
2018-08-03 14:52:31,2018-08-03 15:05:14,2018-08-06 14:12:00,2018-08-15,MS,39.9,18.08,1,17,1
2018-08-03 19:33:35,2018-08-03 20:04:14,2018-08-06 15:02:00,2018-08-08,SP,85.0,12.9,1,0,0
2018-03-17 17:50:30,2018-03-17 18:08:43,2018-03-23 19:24:35,2018-03-29,SP,220.0,8.89,1,4,0
2017-11-17 19:43:10,2017-11-18 12:15:18,2017-11-21 22:38:54,2017-12-18,MA,277.0,35.74,1,50,1
2018-08-19 19:43:01,2018-08-20 19:35:22,2018-08-22 10:06:00,2018-09-05,SP,66.99,27.75,1,5,0
2018-07-07 09:02:51,2018-07-07 10:15:21,2018-07-13 14:11:00,2018-08-03,MA,14.0,50.85,1,20,0
2018-02-21 16:59:24,2018-02-21 17:10:41,2018-02-23 00:07:44,2018-03-22,RJ,170.0,34.06,2,33,1
2018-02-06 13:06:45,2018-02-06 13:15:37,2018-02-06 21:52:33,2018-02-22,SP,229.0,9.8,1,1,0
2018-05-07 22:38:21,2018-05-09 04:31:28,2018-05-10 18:29:00,2018-05-24,SP,99.9,0.0,1,8,0
2018-01-22 23:50:35,2018-01-23 00:15:10,2018-01-23 23:46:54,2018-02-21,BA,84.9,34.39,1,21,0
2017-05-21 13:13:54,2017-05-21 13:25:15,2017-05-25 12:05:10,2017-06-26,CE,189.0,33.91,1,8,0
2017-10-03 20:43:03,2017-10-03 20:50:45,2017-10-04 19:51:26,2017-10-19,SP,49.0,7.78,1,1,0
2018-07-04 06:45:05,2018-07-05 16:09:18,2018-07-05 14:08:00,2018-07-30,GO,37.9,15.37,1,6,0
2018-05-18 16:59:09,2018-05-18 17:15:37,2018-05-21 14:46:00,2018-06-12,SP,179.93,16.14,1,14,0
2017-08-10 16:13:36,2017-08-11 07:15:16,2017-08-16 18:27:40,2017-08-30,SP,116.9,13.84,1,13,0
2018-06-10 11:23:39,2018-06-12 04:17:48,2018-06-13 14:32:00,2018-07-04,MG,94.9,15.51,1,5,0
2018-05-29 19:22:17,2018-05-29 19:35:18,2018-05-30 11:29:00,2018-06-29,MG,121.99,15.73,1,5,0
2017-09-26 15:24:03,2017-09-26 15:49:17,2017-09-28 18:42:42,2017-10-11,SP,7.79,7.78,1,0,0
2017-09-21 22:00:44,2017-09-21 22:46:14,2017-10-04 14:45:15,2017-10-20,DF,179.99,85.97,1,7,0
2017-02-13 16:18:07,2017-02-14 03:42:56,2017-02-14 08:32:53,2017-03-10,MG,7.6,10.96,1,1,0
2017-12-30 12:33:26,2017-12-30 12:48:10,2018-01-04 22:38:07,2018-02-01,RJ,49.9,17.6,1,25,0
2018-07-04 20:34:26,2018-07-05 16:40:11,2018-07-11 14:12:00,2018-07-19,SP,110.32,8.03,1,1,0
2017-12-25 20:40:15,2017-12-25 20:48:10,2017-12-26 20:39:05,2018-01-19,SP,49.0,11.85,1,2,0
2018-06-06 18:30:20,2018-06-06 18:52:39,2018-06-07 14:17:00,2018-07-26,PA,159.9,61.18,1,8,0
2017-12-20 06:42:39,2017-12-20 11:10:33,2017-12-21 21:26:54,2018-01-15,SP,120.0,27.39,1,4,0
2017-08-02 15:32:46,2017-08-02 15:45:17,2017-08-02 20:32:44,2017-08-15,RJ,21.5,11.98,1,0,0
2018-02-27 12:16:30,2018-02-28 09:29:25,2018-02-28 20:48:42,2018-03-21,MS,122.99,15.61,1,22,1
2017-11-25 13:56:55,2017-11-25 14:16:42,2017-11-27 18:22:41,2017-12-26,BA,72.99,19.75,1,18,0
2017-06-11 09:46:11,2017-06-11 10:02:38,2017-06-12 15:45:00,2017-07-03,SP,129.99,13.93,1,4,0
2018-02-05 18:25:51,2018-02-06 18:30:33,2018-02-07 17:31:55,2018-03-06,RJ,184.0,35.78,2,12,0
2018-08-07 22:03:44,2018-08-07 22:15:22,2018-08-08 14:11:00,2018-08-15,SP,135.56,33.6,4,8,1
2018-02-19 21:47:44,2018-02-19 22:47:21,2018-02-20 19:35:24,2018-03-14,RJ,149.0,40.37,1,15,0
2018-01-18 17:05:30,2018-01-20 09:07:51,2018-01-23 14:33:54,2018-02-20,MT,20.3,16.79,1,14,0
2017-05-18 20:59:24,2017-05-18 21:10:16,2017-05-22 15:50:30,2017-06-12,MG,359.8,30.02,2,7,0
2017-07-23 19:11:15,2017-07-23 19:27:31,2017-07-24 19:44:26,2017-08-11,SP,109.9,12.27,1,1,0
2017-08-18 16:02:24,2017-08-19 16:04:45,2017-08-21 21:12:51,2017-09-29,PA,89.0,25.9,1,8,0
2018-04-10 18:01:04,2018-04-10 18:15:20,2018-04-11 22:32:29,2018-04-26,SP,120.0,13.75,1,2,0
2018-02-09 18:00:00,2018-02-09 18:10:50,2018-02-14 23:40:04,2018-03-07,MG,75.0,14.28,1,15,0
2017-04-09 13:35:38,2017-04-09 13:50:09,2017-04-10 11:18:09,2017-05-04,RS,46.86,14.52,1,17,0
2017-04-15 16:35:52,2017-04-16 16:45:13,2017-04-17 09:05:53,2017-05-10,SP,96.0,14.84,1,16,0
2017-10-18 12:14:29,2017-10-18 12:28:16,2017-10-24 14:56:52,2017-11-17,SP,99.97,45.28,3,3,0
2018-02-21 11:37:24,2018-02-23 02:09:02,2018-03-08 01:10:21,2018-03-15,SC,120.1,16.6,1,19,1
2018-03-04 14:40:35,2018-03-04 15:20:26,2018-03-08 17:27:24,2018-03-23,SP,69.9,16.25,1,12,0
2017-11-01 17:45:52,2017-11-02 02:35:31,2017-11-03 21:12:51,2017-12-11,PA,39.9,54.02,1,23,0
2018-07-26 13:35:01,2018-07-26 13:50:14,2018-07-26 14:24:00,2018-08-20,GO,159.9,20.31,1,5,0
2018-03-08 16:01:59,2018-03-09 02:31:25,2018-03-13 03:42:06,2018-03-26,SP,540.0,16.22,1,7,0
2017-09-10 21:45:29,2017-09-10 21:55:22,2017-09-12 17:15:00,2017-09-28,RJ,189.9,31.17,1,2,0
2018-02-23 14:36:15,2018-02-23 14:51:13,2018-02-26 22:51:58,2018-03-23,SP,14.9,8.27,1,3,0
2017-09-24 13:12:59,2017-09-24 13:30:11,2017-09-25 14:53:50,2017-10-17,SP,43.9,11.85,1,8,0
2018-06-10 19:52:27,2018-06-10 20:17:26,2018-06-11 14:44:00,2018-07-16,RJ,139.0,87.28,1,5,0
2018-04-27 21:36:27,2018-04-27 21:52:36,2018-05-02 14:41:00,2018-05-16,SP,40.35,13.71,1,5,0
2017-11-24 22:25:25,2017-11-25 01:31:26,2017-11-27 23:42:46,2017-12-20,RJ,469.0,20.85,1,16,0
2017-08-27 21:41:16,2017-08-27 21:55:16,2017-08-29 19:46:04,2017-09-26,RS,59.0,16.17,1,35,1
2018-01-22 19:46:58,2018-01-24 02:53:04,2018-01-26 16:49:12,2018-02-20,MT,71.8,31.58,2,13,0
2017-09-29 11:24:09,2017-09-30 02:24:43,2017-09-30 15:07:31,2017-10-24,RS,96.99,16.44,1,5,0
2018-07-18 10:46:09,2018-07-19 02:50:11,2018-07-19 12:50:00,2018-08-15,SP,77.9,13.89,1,6,0
2018-08-06 16:12:32,2018-08-06 16:24:34,2018-08-08 12:16:00,2018-08-20,PR,229.99,20.8,1,7,0
2018-02-17 14:22:34,2018-02-17 14:35:28,2018-02-20 19:08:00,2018-03-13,DF,56.0,14.14,1,4,0
2017-08-14 20:28:45,2017-08-14 21:05:07,2017-08-15 23:54:24,2017-09-11,SP,69.99,11.99,1,2,0
2017-12-02 01:20:28,2017-12-02 01:29:28,2017-12-06 00:22:42,2018-01-03,SP,49.9,7.78,1,1,0
2018-08-13 13:59:20,2018-08-13 14:15:12,2018-08-14 14:43:00,2018-08-17,SP,14.0,7.39,1,1,0
2017-12-27 21:50:43,2017-12-27 22:07:25,2017-12-28 19:29:28,2018-01-24,MG,29.0,14.1,1,5,0
2017-05-11 00:24:35,2017-05-11 01:30:22,2017-05-12 12:26:32,2017-06-02,SP,99.0,43.06,1,6,0
2018-04-10 19:17:15,2018-04-10 19:31:09,2018-04-11 20:04:00,2018-04-26,SP,499.0,30.35,1,4,0
2018-03-22 22:52:46,2018-03-22 23:07:23,2018-03-31 14:18:55,2018-04-11,SP,39.85,12.79,1,5,0
2017-07-25 11:42:58,2017-07-25 11:55:24,2017-07-26 10:47:53,2017-08-14,SP,149.0,14.06,1,1,0
2018-01-22 11:08:15,2018-01-22 14:17:41,2018-01-26 15:12:17,2018-02-15,SP,179.98,12.46,1,5,0
2018-05-14 13:44:52,2018-05-15 04:52:44,2018-05-17 10:45:00,2018-05-29,SP,219.99,14.9,1,5,0
2017-11-12 09:50:55,2017-11-12 10:10:32,2017-11-13 19:42:09,2017-11-27,SP,129.0,8.16,1,1,0
2018-01-30 18:08:21,2018-01-31 13:31:57,2018-02-02 16:28:53,2018-02-23,SP,137.0,15.71,1,6,0
2017-04-24 10:53:12,2017-04-24 11:05:19,2017-04-24 11:15:16,2017-05-12,SP,37.0,10.96,1,12,0
2017-06-28 23:31:33,2017-06-28 23:43:34,2017-06-29 11:47:41,2017-07-20,RJ,154.0,14.83,1,18,0
2017-11-06 15:42:42,2017-11-06 22:36:39,2017-11-08 12:24:40,2017-11-29,GO,253.52,82.86,1,13,0
2018-05-03 18:55:20,2018-05-05 03:33:43,2018-05-07 11:10:00,2018-05-18,SP,49.9,7.39,1,1,0
2018-04-24 10:37:50,2018-04-24 18:33:50,2018-04-25 15:40:00,2018-05-07,SP,148.9,13.95,1,1,0
2017-09-23 08:32:53,2017-09-23 08:50:17,2017-09-26 16:43:03,2017-10-20,RJ,64.9,18.69,1,7,0
2018-02-20 11:31:56,2018-02-20 11:47:38,2018-02-21 14:49:29,2018-03-16,GO,179.0,16.0,1,19,0
2017-11-24 13:05:15,2017-11-25 04:15:38,2017-11-28 19:27:06,2017-12-26,RS,27.9,15.1,1,8,0
2018-02-03 17:46:53,2018-02-03 20:10:10,2018-02-06 18:28:37,2018-03-02,MG,39.0,16.11,1,8,0
2017-08-11 17:43:46,2017-08-12 17:45:16,2017-08-15 15:52:35,2017-09-06,PR,7.0,14.1,1,3,0
2018-02-14 22:19:37,2018-02-16 14:29:52,2018-02-17 00:39:11,2018-03-01,SP,269.0,10.7,1,2,0
2017-11-08 13:38:11,2017-11-09 05:31:39,2017-11-10 18:28:35,2017-12-01,RS,99.9,17.95,1,12,0
2017-07-05 13:14:26,2017-07-05 17:41:17,2017-07-06 15:29:25,2017-07-27,RJ,69.9,15.24,1,11,0
2018-03-14 23:57:00,2018-03-15 00:10:59,2018-03-15 19:52:29,2018-04-10,RS,89.9,23.13,1,50,1
2018-03-14 22:53:09,2018-03-14 23:09:38,2018-03-15 20:34:31,2018-04-25,RS,165.0,19.03,1,7,0
2017-08-13 16:44:57,2017-08-13 16:55:17,2017-08-14 16:12:41,2017-08-25,SP,57.99,11.73,1,3,0
2017-10-23 11:03:27,2017-10-23 11:35:25,2017-10-23 22:49:46,2017-11-03,SP,259.0,10.63,1,0,0
2018-08-04 21:40:35,2018-08-04 21:50:11,2018-08-06 13:34:00,2018-08-09,SP,55.0,7.65,1,1,0
2017-05-14 17:19:43,2017-05-14 17:35:15,2017-05-15 09:03:10,2017-06-07,DF,133.0,16.69,1,8,0
2018-05-11 19:20:54,2018-05-11 19:37:41,2018-05-24 13:47:00,2018-06-19,RJ,35.9,18.23,1,12,0
2018-04-02 09:33:25,2018-04-02 09:48:39,2018-04-04 17:34:50,2018-04-23,MG,14.89,18.23,1,28,1
2018-04-29 20:26:41,2018-04-29 20:54:23,2018-05-03 12:01:00,2018-05-28,SP,99.0,13.0,1,5,0
2018-03-04 23:15:49,2018-03-06 04:08:25,2018-03-07 00:32:29,2018-03-15,SP,90.0,9.44,1,2,0
2018-05-18 20:42:47,2018-05-18 20:57:50,2018-05-21 17:38:00,2018-05-28,SP,43.49,27.39,1,2,0
2018-08-08 07:52:21,2018-08-08 08:05:09,2018-08-09 16:22:00,2018-08-20,SP,109.99,36.85,1,5,0
2018-06-04 08:57:02,2018-06-04 09:11:48,2018-06-04 12:19:00,2018-07-11,ES,19.98,30.46,2,9,0
2018-01-06 11:22:56,2018-01-06 11:33:49,2018-01-08 19:54:05,2018-02-05,MA,28.5,34.15,1,21,0
2018-03-20 20:31:23,2018-03-22 02:56:19,2018-03-22 23:48:27,2018-04-02,SP,199.0,8.74,1,0,0
2017-07-10 20:42:56,2017-07-12 02:10:13,2017-07-14 13:47:42,2017-08-08,RJ,135.9,21.44,1,7,0
2018-06-30 11:39:38,2018-06-30 11:50:14,2018-07-03 07:25:00,2018-07-25,PR,249.0,37.09,1,4,0
2017-02-22 10:37:41,2017-02-22 10:50:13,2017-02-22 14:03:10,2017-03-23,MG,49.99,15.56,1,8,0
2018-08-24 13:27:17,2018-08-24 13:44:42,2018-08-27 18:33:00,2018-08-31,SP,38.0,7.53,1,0,0
2018-06-13 13:55:55,2018-06-13 14:17:26,2018-06-19 14:02:00,2018-06-25,SP,85.0,11.62,1,1,0
2017-11-11 13:05:52,2017-11-11 13:26:57,2017-11-16 20:27:16,2017-12-08,SC,117.3,25.66,1,8,0
2017-12-09 19:11:22,2017-12-09 19:30:37,2017-12-11 18:47:04,2018-01-05,SP,199.8,32.92,2,5,0
2018-06-25 21:14:53,2018-06-27 08:30:40,2018-06-27 11:01:00,2018-07-05,SP,18.0,7.87,1,1,0
2018-05-01 02:04:16,2018-05-03 04:12:53,2018-05-10 19:19:00,2018-05-14,SP,11.53,7.39,1,6,1
2018-01-24 22:05:42,2018-01-24 22:14:25,2018-01-25 18:22:43,2018-02-23,SC,269.99,39.41,1,10,0
2017-03-07 21:48:19,2017-03-07 21:55:31,2017-03-09 10:02:59,2017-03-30,RJ,89.99,14.8,1,5,0
2017-11-15 13:36:30,2017-11-15 13:50:26,2017-11-16 19:44:48,2017-12-11,MA,19.9,42.76,1,21,0
2018-07-11 13:33:21,2018-07-11 13:46:36,2018-07-12 10:23:00,2018-07-19,SP,166.9,13.47,1,67,1
2017-10-24 15:15:58,2017-10-26 03:09:33,2017-11-28 01:46:49,2017-11-10,SP,133.74,12.44,1,8,1
2017-08-21 12:54:37,2017-08-21 13:05:16,2017-08-21 19:07:09,2017-09-06,SP,86.8,7.86,1,2,0
2018-08-23 14:41:37,2018-08-25 02:35:10,2018-08-27 14:49:00,2018-08-29,SP,62.0,8.59,1,1,0
2018-03-05 18:15:11,2018-03-05 18:30:41,2018-03-06 22:04:03,2018-03-21,SP,466.0,41.84,2,14,1
2018-06-14 09:08:47,2018-06-14 09:37:53,2018-06-18 13:56:00,2018-07-17,MG,129.0,47.4,1,8,0
2017-09-19 18:05:34,2017-09-21 02:45:37,2017-09-22 14:18:53,2017-10-11,GO,143.54,21.49,1,10,0
2018-03-15 12:33:45,2018-03-15 12:49:18,2018-03-16 17:12:25,2018-04-11,GO,79.98,36.46,2,12,0
2018-07-26 11:25:18,2018-07-26 11:45:13,2018-08-01 14:05:00,2018-08-08,RJ,49.9,12.92,1,1,0
2018-05-11 11:52:34,2018-05-11 12:17:02,2018-05-14 12:42:00,2018-06-08,PB,119.9,23.34,1,4,0
2017-11-23 00:03:52,2017-11-23 00:11:24,2017-11-23 15:16:58,2017-12-13,MG,16.9,15.1,1,6,0
2018-01-11 12:58:45,2018-01-11 13:10:34,2018-01-13 02:15:45,2018-02-09,SC,29.99,15.1,1,18,0
2017-10-19 23:56:16,2017-10-20 00:15:00,2017-10-20 16:39:05,2017-12-08,AM,30.99,34.15,1,11,0
2017-06-14 09:44:30,2017-06-17 03:50:11,2017-06-19 21:14:50,2017-07-11,MG,84.99,15.34,1,18,0
2018-02-18 16:22:23,2018-02-18 17:27:05,2018-02-19 18:22:53,2018-03-15,MS,149.0,45.12,1,11,0
2018-05-08 21:58:57,2018-05-08 22:15:28,2018-05-09 12:34:00,2018-05-16,SP,48.9,8.82,1,1,0
2017-12-09 19:22:59,2017-12-09 19:32:49,2017-12-11 21:24:27,2017-12-28,SP,159.49,8.86,1,3,0
